Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Lutein+Zeaxanthin (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2020-01-02,11:51 AM,"Breakfast","Dannon, Oikos, Greek Nonfat Yogurt, Fruit Flavors","1.00 container - each 5.3 oz",112.80,0.00,0.00,122.25,0.07,0.27,0.17,0.53,0.06,0.72,12.38,8.61,2.08,29.48,3.30,60.00,0.04,0.18,150.00,0.02,0.13,20.99,0.03,164.56,140.65,4.98,45.18,0.70,15.76,0.18,0.90,14.80,15.58,0.31,3.11,0.08,0.02,0.19,0.00,0.00,0.01,0.15,0.28,0.58,1.08,0.97,0.25,0.47,11.43,0.54,0.20,0.41,0.64,"Dairy and Egg Products"
2020-01-02,11:52 AM,"Breakfast","Bagel, White, Plain or Seasoned","1.00 large - 4 1/4"" - 4 3/4"" diameter",345.84,0.00,0.00,44.29,0.74,0.45,5.91,0.53,0.09,0.00,0.00,213.53,0.00,0.00,0.00,0.00,9.77,0.26,286.89,0.17,4.68,37.99,0.71,129.69,140.17,28.17,552.82,1.09,68.62,2.10,48.95,11.04,66.52,1.73,0.00,0.26,0.69,0.47,0.03,0.03,0.66,0.29,0.30,0.53,0.96,0.33,0.25,0.68,13.83,0.39,0.16,0.39,0.60,"Baked Products"
2020-01-02,11:52 AM,"Breakfast","Apple, Fresh, With Skin","1.00 medium - 3"" diameter",94.64,0.00,0.00,155.72,0.03,0.05,0.17,0.11,0.07,0.00,49.14,5.46,52.78,98.28,8.37,0.00,0.38,4.00,10.92,0.05,0.22,9.10,0.06,20.02,194.74,0.00,1.82,0.07,25.13,4.37,0.09,18.91,20.77,0.31,0.00,0.01,0.09,0.05,0.00,0.02,0.08,0.00,0.01,0.01,0.02,0.02,0.00,0.01,0.47,0.01,0.00,0.00,0.02,"Fruits and Fruit Juices"
2020-01-02,11:52 AM,"Breakfast","Coffee, Prepared From Grounds","4.20 small or tall - each 12 fl oz",14.92,0.00,596.74,1482.74,0.21,1.13,2.85,3.79,0.01,0.00,0.00,29.84,0.00,0.00,0.00,0.00,0.15,1.49,29.84,0.03,0.15,44.76,0.34,44.76,731.00,0.00,29.84,0.30,7.01,7.01,0.00,0.00,0.00,0.30,0.00,0.22,0.01,0.03,0.00,0.00,0.00,0.03,0.03,0.03,0.07,0.01,0.00,0.04,1.79,0.01,0.00,0.03,0.04,"Beverages"
2020-01-02,11:52 AM,"Breakfast","Half and Half","10.00 Tbsp",196.50,0.00,0.00,120.85,0.05,0.29,0.16,0.81,0.08,0.29,33.00,4.50,0.00,531.00,1.35,3.00,0.38,1.95,160.50,0.01,0.08,15.00,0.01,142.50,198.00,4.80,91.50,0.59,6.45,0.00,0.00,6.19,6.45,17.25,52.50,4.98,0.83,10.55,0.70,0.07,0.47,0.02,0.11,0.24,0.39,0.20,0.11,0.21,4.69,0.21,0.11,0.22,0.28,"Dairy and Egg Products"
2020-01-02,11:53 AM,"Breakfast","Orgain, Organic Protein & Superfoods, Vanilla Bean","0.90 x 2.0 scoops",144.00,,,,0.36,0.45,0.90,0.90,0.54,0.09,,17.10,,32.97,14.40,0.00,,,73.80,,7.20,21.60,,,87.30,,279.00,,18.90,4.50,,0.90,14.40,4.05,0.00,,,0.45,0.00,,,,,,,,,,18.90,,,,,"Supplements"
2020-01-02,2:24 PM,"Lunch","Soy Milk, Plain or Original, Sweetened with Sugar, Ready-to-Drink, Enriched","2.00 cup",208.98,0.00,0.00,439.15,0.14,0.89,2.07,0.51,0.15,4.13,9.72,43.74,0.00,899.09,0.00,208.98,0.53,14.58,597.77,0.80,2.04,72.90,0.30,208.98,592.91,11.18,228.42,1.26,23.91,0.97,1.02,17.74,22.94,7.14,0.00,1.86,4.17,1.00,0.00,0.36,2.79,0.00,0.17,0.32,0.52,0.37,0.08,0.32,12.64,0.30,0.11,0.25,0.33,"Beverages"
2020-01-02,2:24 PM,"Lunch","Banana, Fresh","1.00 small - 6"" to 6 7/8"" long",89.89,0.00,0.00,75.66,0.03,0.07,0.67,0.34,0.37,0.00,26.26,20.20,22.22,64.64,8.79,0.00,0.13,0.51,5.05,0.08,0.26,27.27,0.27,22.22,361.58,1.01,1.01,0.15,23.07,2.63,5.43,12.35,20.44,0.33,0.00,0.03,0.07,0.11,0.00,0.03,0.05,0.01,0.08,0.03,0.07,0.05,0.01,0.05,1.10,0.03,0.01,0.01,0.05,"Fruits and Fruit Juices"
2020-01-02,2:24 PM,"Lunch","Blueberries, Fresh","0.60 cup, whole pieces",50.62,0.00,0.00,74.78,0.03,0.04,0.37,0.11,0.05,0.00,28.42,5.33,71.04,47.95,8.61,0.00,0.52,17.14,5.33,0.05,0.25,5.33,0.30,10.66,68.38,0.09,0.89,0.14,12.87,2.13,0.03,8.84,10.74,0.29,0.00,0.04,0.13,0.02,0.00,0.05,0.08,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.66,0.02,0.00,0.01,0.03,"Fruits and Fruit Juices"
2020-01-02,2:24 PM,"Lunch","Strawberries, Fresh","0.50 cup, halves",24.32,0.00,0.00,69.12,0.02,0.02,0.29,0.09,0.04,0.00,5.32,18.24,19.76,9.12,44.69,0.00,0.21,1.67,12.16,0.04,0.31,9.88,0.29,18.24,116.28,0.30,0.76,0.11,5.84,1.52,0.03,3.72,4.32,0.23,0.00,0.03,0.12,0.01,0.00,0.05,0.07,0.00,0.01,0.01,0.03,0.02,0.00,0.01,0.51,0.02,0.01,0.02,0.01,"Fruits and Fruit Juices"
